id,pdbid,ndbid,polyclass,method
1XPE,1XPE,UR0046,RNA,X-ray
1XPF,1XPF,UR0047,RNA,X-ray
1XPO,1XPO,PR0138,Protein/RNA,X-ray
1XPR,1XPR,PR0139,Protein/RNA,X-ray
1XPU,1XPU,PR0140,Protein/RNA,X-ray
1XPX,1XPX,PD0602,Protein/DNA,X-ray
1XRW,1XRW,1XRW,DNA,NMR
1XS9,1XS9,1XS9,Protein/DNA,NMR
1XSD,1XSD,PD0598,Protein/DNA,X-ray
1XSG,1XSG,1XSG,RNA,NMR
1XSH,1XSH,1XSH,RNA,NMR
1XSL,1XSL,PD0604,Protein/DNA,X-ray
1XSN,1XSN,PD0605,Protein/DNA,X-ray
1XSP,1XSP,PD0606,Protein/DNA,X-ray
1XST,1XST,1XST,RNA,NMR
1XSU,1XSU,1XSU,RNA,NMR
1XUE,1XUE,1XUE,DNA,NMR
1XUW,1XUW,UD0056,DNA,X-ray
1XUX,1XUX,UD0057,DNA,X-ray
1XV0,1XV0,1XV0,RNA,NMR
1XV6,1XV6,1XV6,RNA,NMR
1XVK,1XVK,DD0066,DNA,X-ray
1XVN,1XVN,DD0067,DNA,X-ray
1XVR,1XVR,DD0068,DNA,X-ray
1XWP,1XWP,1XWP,RNA,NMR
1XWU,1XWU,1XWU,RNA,NMR
1XYI,1XYI,PD0607,Protein/DNA,X-ray
1Y0Q,1Y0Q,UR0048,RNA,X-ray
1Y1W,1Y1W,PH0014,Protein/DNA/RNA,X-ray
1Y1Y,1Y1Y,PH0013,Protein/DNA/RNA,X-ray
1Y26,1Y26,UR0051,RNA,X-ray
1Y27,1Y27,UR0052,RNA,X-ray
1Y39,1Y39,PR0144,Protein/RNA,X-ray
1Y3O,1Y3O,UR0049,RNA,X-ray
1Y3S,1Y3S,UR0050,RNA,X-ray
1Y69,1Y69,RR0099,Protein/RNA,X-ray
1Y6F,1Y6F,PD0616,Protein/DNA,X-ray
1Y6G,1Y6G,PD0617,Protein/DNA,X-ray
1Y6S,1Y6S,AR0052,RNA,X-ray
1Y6T,1Y6T,AR0050,RNA,X-ray
1Y73,1Y73,AR0051,RNA,X-ray
1Y77,1Y77,PH0015,Protein/DNA/RNA,X-ray
1Y7F,1Y7F,AD0034,DNA,X-ray
1Y84,1Y84,AD0037,DNA,X-ray
1Y86,1Y86,AD0038,DNA,X-ray
1Y8D,1Y8D,1Y8D,DNA,NMR
1Y8L,1Y8L,AD0041,DNA,X-ray
1Y8V,1Y8V,AD0042,DNA,X-ray
1Y8Z,1Y8Z,PD0618,Protein/DNA,X-ray
1Y90,1Y90,AR0053,RNA,X-ray
1Y95,1Y95,AR0054,RNA,X-ray
1Y99,1Y99,AR0056,RNA,X-ray
1Y9F,1Y9F,AD0039,DNA,X-ray
1Y9H,1Y9H,1Y9H,DNA,NMR
1Y9S,1Y9S,AD0040,DNA,X-ray
1YA6,1YA6,PD0620,Protein/DNA,X-ray
1YB9,1YB9,AD0043,DNA,X-ray
1YBC,1YBC,AD0044,DNA,X-ray
1YBL,1YBL,1YBL,DNA,NMR
1YBN,1YBN,1YBN,DNA,NMR
1YBR,1YBR,1YBR,DNA,NMR
1YCT,1YCT,1YCT,DNA,NMR
1YCW,1YCW,1YCW,DNA,NMR
1YF3,1YF3,PD0622,Protein/DNA,X-ray
1YFG,1YFG,TRNA12,RNA,X-ray
1YFH,1YFH,PD0625,Protein/DNA,X-ray
1YFI,1YFI,PD0621,Protein/DNA,X-ray
1YFJ,1YFJ,PD0623,Protein/DNA,X-ray
1YFL,1YFL,PD0624,Protein/DNA,X-ray
1YFV,1YFV,1YFV,RNA,NMR
1YG3,1YG3,1YG3,RNA,NMR
1YG4,1YG4,1YG4,RNA,NMR
1YHQ,1YHQ,RR0112,Protein/RNA,X-ray
1YI2,1YI2,RR0113,Protein/RNA,X-ray
1YIJ,1YIJ,RR0114,Protein/RNA,X-ray
1YIT,1YIT,RR0115,Protein/RNA,X-ray
1YJ9,1YJ9,RR0116,Protein/RNA,X-ray
1YJN,1YJN,RR0117,Protein/RNA,X-ray
1YJW,1YJW,RR0118,Protein/RNA,X-ray
1YKQ,1YKQ,UR0053,RNA,X-ray
1YKV,1YKV,UR0054,RNA,X-ray
1YLG,1YLG,1YLG,RNA,NMR
1YLS,1YLS,UR0055,RNA,X-ray
1YMO,1YMO,1YMO,RNA,NMR
1YN1,1YN1,1YN1,RNA,NMR
1YN2,1YN2,1YN2,RNA,NMR
1YNC,1YNC,1YNC,RNA,NMR
1YNE,1YNE,1YNE,RNA,NMR
1YNG,1YNG,1YNG,RNA,NMR
1YNW,1YNW,PD0626,Protein/DNA,X-ray
1YO5,1YO5,PD0627,Protein/DNA,X-ray
1YQK,1YQK,PD0629,Protein/DNA,X-ray
1YQL,1YQL,PD0630,Protein/DNA,X-ray
1YQM,1YQM,PD0631,Protein/DNA,X-ray
1YQR,1YQR,PD0632,Protein/DNA,X-ray
1YRJ,1YRJ,DR0011,RNA,X-ray
1YRM,1YRM,AR0057,Hybrid,X-ray
1YRN,1YRN,PDT028,Protein/DNA,X-ray
1YSA,1YSA,PDT002,Protein/DNA,X-ray
1YSH,1YSH,,Protein/RNA,EM
1YSV,1YSV,1YSV,RNA,NMR
1YTB,1YTB,PDT012,Protein/DNA,X-ray
1YTF,1YTF,PDT036,Protein/DNA,X-ray
1YTU,1YTU,PR0146,Protein/RNA,X-ray
1YTY,1YTY,PR0152,Protein/RNA,X-ray
1YUI,1YUI,1YUI,Protein/DNA,NMR
1YUJ,1YUJ,1YUJ,Protein/DNA,NMR
1YVP,1YVP,PR0151,Protein/RNA,X-ray
1YXP,1YXP,UR0057,RNA,X-ray
1YY0,1YY0,AR0058,RNA,X-ray
1YYK,1YYK,PR0147,Protein/RNA,X-ray
1YYO,1YYO,PR0148,Protein/RNA,X-ray
1YYW,1YYW,PR0149,Protein/RNA,X-ray
1YZ9,1YZ9,PR0150,Protein/RNA,X-ray
1YZD,1YZD,AR0059,RNA,X-ray
1Z19,1Z19,PD0635,Protein/DNA,X-ray
1Z1B,1Z1B,PD0636,Protein/DNA,X-ray
1Z1C,1Z1C,PD0633,Protein/DNA,X-ray
1Z1G,1Z1G,PD0637,Protein/DNA,X-ray
1Z2J,1Z2J,1Z2J,RNA,NMR
1Z30,1Z30,1Z30,RNA,NMR
1Z31,1Z31,1Z31,RNA,NMR
1Z3F,1Z3F,DD0070,DNA,X-ray
1Z43,1Z43,UR0056,RNA,X-ray
1Z58,1Z58,RR0121,Protein/RNA,X-ray
1Z5T,1Z5T,BD0075,DNA,X-ray
1Z63,1Z63,PD0638,Protein/DNA,X-ray
1Z79,1Z79,AR0060,RNA,X-ray
1Z7F,1Z7F,AR0061,RNA,X-ray
1Z7I,1Z7I,AD0045,DNA,X-ray
1Z8V,1Z8V,BD0078,DNA,X-ray
1Z9C,1Z9C,PD0644,Protein/DNA,X-ray
1ZAA,1ZAA,PDT006,Protein/DNA,X-ray
1ZAY,1ZAY,PD0109,Protein/DNA,X-ray
1ZBB,1ZBB,PD0639,Protein/DNA,X-ray
1ZBH,1ZBH,PR0153,Protein/RNA,X-ray
1ZBI,1ZBI,PH0016,Protein/DNA/RNA,X-ray
1ZBL,1ZBL,PH0017,Protein/DNA/RNA,X-ray
1ZBN,1ZBN,1ZBN,Protein/RNA,NMR
1ZC5,1ZC5,1ZC5,RNA,NMR
1ZC8,1ZC8,,Protein/RNA,EM
1ZCI,1ZCI,UR0058,RNA,X-ray
1ZDH,1ZDH,PRV003,Protein/RNA,X-ray
1ZDI,1ZDI,PRV006,Protein/RNA,X-ray
1ZDJ,1ZDJ,PRV021,Protein/RNA,X-ray
1ZDK,1ZDK,PR0003,Protein/RNA,X-ray
1ZE2,1ZE2,PR0154,Protein/RNA,X-ray
1ZET,1ZET,PD0647,Protein/DNA,X-ray
1ZEV,1ZEV,AR0062,RNA,X-ray
1ZEW,1ZEW,BD0076,DNA,X-ray
1ZEX,1ZEX,AD0046,DNA,X-ray
1ZEY,1ZEY,AD0047,DNA,X-ray
1ZEZ,1ZEZ,UD0058,DNA,X-ray
1ZF0,1ZF0,BD0077,DNA,X-ray
1ZF1,1ZF1,AD0048,DNA,X-ray
1ZF2,1ZF2,UD0059,DNA,X-ray
1ZF3,1ZF3,UD0060,DNA,X-ray
1ZF4,1ZF4,UD0061,DNA,X-ray
1ZF5,1ZF5,BD0079,DNA,X-ray
1ZF6,1ZF6,AD0049,DNA,X-ray
1ZF7,1ZF7,BD0080,DNA,X-ray
1ZF8,1ZF8,AD0050,DNA,X-ray
1ZF9,1ZF9,AD0051,DNA,X-ray
1ZFA,1ZFA,AD0052,DNA,X-ray
1ZFB,1ZFB,BD0081,DNA,X-ray
1ZFC,1ZFC,BD0082,DNA,X-ray
1ZFE,1ZFE,BD0083,DNA,X-ray
1ZFF,1ZFF,BD0087,DNA,X-ray
1ZFG,1ZFG,BD0084,DNA,X-ray
1ZFH,1ZFH,BD0085,DNA,X-ray
1ZFM,1ZFM,BD0086,DNA,X-ray
1ZFT,1ZFT,UR0060,RNA,X-ray
1ZFV,1ZFV,UR0061,RNA,X-ray
1ZFX,1ZFX,UR0062,RNA,X-ray
1ZG1,1ZG1,PD0645,Protein/DNA,X-ray
1ZG5,1ZG5,PD0646,Protein/DNA,X-ray
1ZGW,1ZGW,1ZGW,Protein/DNA,NMR
1ZH5,1ZH5,PR0156,Protein/RNA,X-ray
1ZHO,1ZHO,PR0157,Protein/RNA,X-ray
1ZHU,1ZHU,1ZHU,DNA,NMR
1ZIF,1ZIF,1ZIF,RNA,NMR
1ZIG,1ZIG,1ZIG,RNA,NMR
1ZIH,1ZIH,1ZIH,RNA,NMR
1ZJE,1ZJE,AD0053,DNA,X-ray
1ZJF,1ZJF,AD0054,DNA,X-ray
1ZJG,1ZJG,AD0055,DNA,X-ray
1ZJM,1ZJM,PD0666,Protein/DNA,X-ray
1ZJN,1ZJN,PD0667,Protein/DNA,X-ray
1ZJW,1ZJW,PR0155,Protein/RNA,X-ray
1ZL3,1ZL3,PR0160,Protein/RNA,X-ray
1ZLA,1ZLA,PD0668,Protein/DNA,X-ray
1ZLK,1ZLK,PD0651,Protein/DNA,X-ray
1ZM5,1ZM5,PD0669,Protein/DNA,X-ray
1ZME,1ZME,PDT044,Protein/DNA,X-ray
1ZN0,1ZN0,,Protein/RNA,EM
1ZN1,1ZN1,,Protein/RNA,EM
1ZNA,1ZNA,ZDD015,DNA,X-ray
1ZNS,1ZNS,PD0657,Protein/DNA,X-ray
1ZO1,1ZO1,,Protein/RNA,EM
1ZO3,1ZO3,,Protein/RNA,EM
1ZPH,1ZPH,DD0071,DNA,X-ray
1ZPI,1ZPI,DD0072,DNA,X-ray
1ZQ3,1ZQ3,1ZQ3,Protein/DNA,NMR
1ZQA,1ZQA,PDE027,Protein/DNA,X-ray
1ZQB,1ZQB,PDE028,Protein/DNA,X-ray
1ZQC,1ZQC,PDE029,Protein/DNA,X-ray
1ZQD,1ZQD,PDE030,Protein/DNA,X-ray
1ZQE,1ZQE,PDE031,Protein/DNA,X-ray
1ZQF,1ZQF,PDE032,Protein/DNA,X-ray
1ZQG,1ZQG,PDE033,Protein/DNA,X-ray
1ZQH,1ZQH,PDE034,Protein/DNA,X-ray
1ZQI,1ZQI,PDE035,Protein/DNA,X-ray
1ZQJ,1ZQJ,PDE036,Protein/DNA,X-ray
1ZQK,1ZQK,PDE037,Protein/DNA,X-ray
1ZQL,1ZQL,PDE038,Protein/DNA,X-ray
1ZQM,1ZQM,PDE039,Protein/DNA,X-ray
1ZQN,1ZQN,PDE040,Protein/DNA,X-ray
1ZQO,1ZQO,PDE041,Protein/DNA,X-ray
1ZQP,1ZQP,PDE042,Protein/DNA,X-ray
1ZQQ,1ZQQ,PDE043,Protein/DNA,X-ray
1ZQR,1ZQR,PDE044,Protein/DNA,X-ray
1ZQS,1ZQS,PDE045,Protein/DNA,X-ray
1ZQT,1ZQT,PDE046,Protein/DNA,X-ray
1ZR2,1ZR2,PD0665,Protein/DNA,X-ray
1ZR4,1ZR4,PD0674,Protein/DNA,X-ray
1ZRC,1ZRC,PD0670,Protein/DNA,X-ray
1ZRD,1ZRD,PD0671,Protein/DNA,X-ray
1ZRE,1ZRE,PD0672,Protein/DNA,X-ray
1ZRF,1ZRF,PD0673,Protein/DNA,X-ray
1ZS4,1ZS4,PD0687,Protein/DNA,X-ray
1ZSE,1ZSE,PR0167,Protein/RNA,X-ray
1ZTG,1ZTG,PD0675,Protein/DNA,X-ray
1ZTT,1ZTT,PD0678,Protein/DNA,X-ray
1ZTW,1ZTW,PD0679,Protein/DNA,X-ray
1ZVV,1ZVV,PD0684,Protein/DNA,X-ray
1ZX4,1ZX4,PD0685,Protein/DNA,X-ray
1ZX7,1ZX7,AR0064,RNA,X-ray
1ZYF,1ZYF,1ZYF,DNA,NMR
1ZYG,1ZYG,1ZYG,DNA,NMR
1ZYH,1ZYH,1ZYH,DNA,NMR
1ZYQ,1ZYQ,PD0686,Protein/DNA,X-ray
1ZZ5,1ZZ5,DR0013,RNA,X-ray
1ZZI,1ZZI,PD0680,Protein/DNA,X-ray
1ZZJ,1ZZJ,PD0681,Protein/DNA,X-ray
1ZZN,1ZZN,PR0170,Protein/RNA,X-ray
200D,200D,UDF027,DNA,X-ray
201D,201D,201D,DNA,NMR
202D,202D,202D,DNA,NMR
203D,203D,203D,DNA,NMR
204D,204D,204D,DNA,NMR
205D,205D,URL029,RNA,X-ray
206D,206D,BDF062,DNA,X-ray
207D,207D,207D,DNA,NMR
208D,208D,UDI030,DNA,X-ray
209D,209D,DDH051,DNA,X-ray
210D,210D,ZDFB41,DNA,X-ray
211D,211D,ZDFB42,DNA,X-ray
212D,212D,ADJ065,DNA,X-ray
213D,213D,ADJB61,DNA,X-ray
214D,214D,214D,DNA,NMR
215D,215D,DDF053,DNA,X-ray
216D,216D,GHHB34,Hybrid,X-ray
217D,217D,GHHB35,Hybrid,X-ray
218D,218D,BDLB58,DNA,X-ray
219D,219D,219D,DNA/RNA,NMR
220D,220D,ADJ066,DNA,X-ray
221D,221D,ADJ067,DNA,X-ray
222D,222D,AHJ068,Hybrid,X-ray
223D,223D,ZDFB43,DNA,X-ray
224D,224D,DDF052,DNA,X-ray
225D,225D,225D,DNA,NMR
226D,226D,226D,DNA,NMR
227D,227D,GDL036,DNA,X-ray
229D,229D,229D,DNA,NMR
230D,230D,230D,DNA,NMR
231D,231D,DDF060,DNA,X-ray
232D,232D,UDJ032,DNA,X-ray
233D,233D,BDLS67,DNA,X-ray
234D,234D,DDF054,DNA,X-ray
235D,235D,DDF055,DNA,X-ray
236D,236D,DDF056,DNA,X-ray
237D,237D,UDJ031,DNA,X-ray
238D,238D,UDJB44,DNA,X-ray
239D,239D,ZDF049,DNA,X-ray
240D,240D,ADJ069,DNA,X-ray
241D,241D,UDF043,DNA,X-ray
242D,242D,ZDFB51,DNA,X-ray
243D,243D,ADH070,DNA,X-ray
244D,244D,UDF036,DNA,X-ray
245D,245D,DDF063,DNA,X-ray
246D,246D,AHH071,Hybrid,X-ray
247D,247D,UHK045,Hybrid,X-ray
248D,248D,UHK046,Hybrid,X-ray
249D,249D,BDL070,DNA,X-ray
250D,250D,BDH071,DNA,X-ray
251D,251D,BDF068,DNA,X-ray
252D,252D,BDJ069,DNA,X-ray
253D,253D,UDI047,DNA,X-ray
254D,254D,ADFB62,DNA,X-ray
255D,255D,ARL037,RNA,X-ray
256D,256D,ADFB72,DNA,X-ray
257D,257D,ADF073,DNA,X-ray
258D,258D,DDF064,DNA,X-ray
259D,259D,ARH074,RNA,X-ray
260D,260D,ADJ075,DNA,X-ray
261D,261D,GDJ046,DNA,X-ray
263D,263D,GDL039,DNA,X-ray
264D,264D,GDL026,DNA,X-ray
265D,265D,BDLB72,DNA,X-ray
266D,266D,BDLB73,DNA,X-ray
267D,267D,GDLB41,DNA,X-ray
268D,268D,GDLB42,DNA,X-ray
269D,269D,GDLB43,DNA,X-ray
270D,270D,BDLB74,DNA,X-ray
271D,271D,BDL075,DNA,X-ray
272D,272D,UDJ049,DNA,X-ray
274D,274D,GDJB29,DNA,X-ray
275D,275D,ADFB63,DNA,X-ray
276D,276D,DDF066,DNA,X-ray
277D,277D,DDF067,DNA,X-ray
278D,278D,DDF068,DNA,X-ray
279D,279D,ZDJ050,DNA,X-ray
280D,280D,URL050,RNA,X-ray
281D,281D,ADH076,DNA,X-ray
282D,282D,DDF069,DNA,X-ray
283D,283D,URL051,RNA,X-ray
284D,284D,UDH052,DNA,X-ray
285D,285D,BDLB76,DNA,X-ray
286D,286D,BDJB77,DNA,X-ray
287D,287D,BDL078,DNA,X-ray
288D,288D,DDF065,DNA,X-ray
289D,289D,GDL045,DNA,X-ray
28DN,28DN,ADH023,DNA,X-ray
28SP,28SP,28SP,RNA,NMR
28SR,28SR,28SR,RNA,NMR
290D,290D,BDLS79,DNA,X-ray
291D,291D,BDLS80,DNA,X-ray
292D,292D,DDF027,DNA,X-ray
293D,293D,ZDF052,DNA,X-ray
294D,294D,UDF054,DNA,X-ray
295D,295D,ADH033,DNA,X-ray
296D,296D,GDL028,DNA,X-ray
297D,297D,BDLB82,DNA,X-ray
298D,298D,GDL044,DNA,X-ray
299D,299D,URX057,RNA,X-ray
2A04,2A04,DR0014,RNA,X-ray
2A07,2A07,PD0689,Protein/DNA,X-ray
2A0I,2A0I,PD0688,Protein/DNA,X-ray
2A0P,2A0P,AR0063,RNA,X-ray
2A1R,2A1R,PR0166,Protein/RNA,X-ray
2A2E,2A2E,UR0064,RNA,X-ray
2A2T,2A2T,BD0088,DNA,X-ray
2A3V,2A3V,PD0690,Protein/DNA,X-ray
2A43,2A43,UR0066,RNA,X-ray
2A5P,2A5P,2A5P,DNA,NMR
2A5R,2A5R,2A5R,DNA,NMR
2A64,2A64,UR0065,RNA,X-ray
2A66,2A66,PD0691,Protein/DNA,X-ray
2A6O,2A6O,PD0695,Protein/DNA,X-ray
2A7E,2A7E,AD0056,DNA,X-ray
2A8V,2A8V,PR0008,Protein/RNA,X-ray
2A9L,2A9L,2A9L,RNA,NMR
2A9X,2A9X,2A9X,Protein/RNA,NMR
2AAR,2AAR,RR0122,Protein/RNA,X-ray
2AB4,2AB4,PR0169,Protein/RNA,X-ray
2AC0,2AC0,PD0692,Protein/DNA,X-ray
2ACJ,2ACJ,PD0693,Protein/DNA,X-ray
2AD9,2AD9,2AD9,Protein/RNA,NMR
2ADB,2ADB,2ADB,Protein/RNA,NMR
2ADC,2ADC,2ADC,Protein/RNA,NMR
2ADT,2ADT,2ADT,RNA,NMR
2ADW,2ADW,DD0073,DNA,X-ray
2ADY,2ADY,PD0694,Protein/DNA,X-ray
2AF1,2AF1,BD0089,DNA,X-ray
2AGN,2AGN,,Protein/RNA,EM
2AGO,2AGO,PD0697,Protein/DNA,X-ray
2AGP,2AGP,PD0698,Protein/DNA,X-ray
2AGQ,2AGQ,PD0699,Protein/DNA,X-ray
2AHI,2AHI,PD0696,Protein/DNA,X-ray
2AHT,2AHT,2AHT,RNA,NMR
2AJQ,2AJQ,PD0702,Protein/DNA,X-ray
2AKE,2AKE,PR0171,Protein/RNA,X-ray
2AKG,2AKG,2AKG,DNA,NMR
2ALZ,2ALZ,PD0700,Protein/DNA,X-ray
2ANA,2ANA,ADH006,DNA,X-ray
2ANN,2ANN,PR0172,Protein/RNA,X-ray
2ANR,2ANR,PR0173,Protein/RNA,X-ray
2AO5,2AO5,AR0065,RNA,X-ray
2AOQ,2AOQ,PD0703,Protein/DNA,X-ray
2AOR,2AOR,PD0704,Protein/DNA,X-ray
2AP0,2AP0,2AP0,RNA,NMR
2AP5,2AP5,2AP5,RNA,NMR
2AQ4,2AQ4,PD0706,Protein/DNA,X-ray
2AQY,2AQY,2AQY,DNA,NMR
2ARG,2ARG,2ARG,DNA,NMR
2AS5,2AS5,PD0707,Protein/DNA,X-ray
2ASB,2ASB,PR0174,Protein/RNA,X-ray
2ASD,2ASD,PD0708,Protein/DNA,X-ray
2ASJ,2ASJ,PD0709,Protein/DNA,X-ray
2ASL,2ASL,PD0710,Protein/DNA,X-ray
2ATA,2ATA,PD0705,Protein/DNA,X-ray
2ATL,2ATL,PD0711,Protein/DNA,X-ray
2ATW,2ATW,PR0175,Protein/RNA,X-ray
2AU0,2AU0,PD0712,Protein/DNA,X-ray
2AU4,2AU4,2AU4,RNA,NMR
2AVH,2AVH,UD0062,DNA,X-ray
2AVJ,2AVJ,UD0063,DNA,X-ray
2AWE,2AWE,UR0067,RNA,X-ray
2AWQ,2AWQ,2AWQ,RNA,NMR
2AWV,2AWV,2AWV,DNA,NMR
2AXB,2AXB,AD0057,DNA,X-ray
2AXY,2AXY,PD0715,Protein/DNA,X-ray
2AYB,2AYB,PD0716,Protein/DNA,X-ray
2AYG,2AYG,PD0717,Protein/DNA,X-ray
2AZ0,2AZ0,PR0181,Protein/RNA,X-ray
2AZ2,2AZ2,PR0182,Protein/RNA,X-ray
2AZX,2AZX,PR0176,Protein/RNA,X-ray
2B0D,2B0D,PD0713,Protein/DNA,X-ray
2B0E,2B0E,PD0714,Protein/DNA,X-ray
2B0K,2B0K,DD0074,DNA,X-ray
2B1B,2B1B,AD0058,DNA,X-ray
2B1C,2B1C,AD0059,DNA,X-ray
2B1D,2B1D,BD0090,DNA,X-ray
2B2B,2B2B,DD0075,DNA,X-ray
2B2D,2B2D,PR0177,Protein/RNA,X-ray
2B2E,2B2E,PR0178,Protein/RNA,X-ray
2B2G,2B2G,PR0179,Protein/RNA,X-ray
2B3E,2B3E,DD0076,DNA,X-ray
2B3J,2B3J,PR0180,Protein/RNA,X-ray
2B57,2B57,UR0070,RNA,X-ray
2B63,2B63,PR0183,Protein/RNA,X-ray
2B6G,2B6G,2B6G,Protein/RNA,NMR
2B7G,2B7G,2B7G,RNA,NMR
2B8R,2B8R,UR0071,RNA,X-ray
2B8S,2B8S,UR0072,RNA,X-ray
2B9S,2B9S,PD0719,Protein/DNA,X-ray
2BAM,2BAM,PD0029,Protein/DNA,X-ray
2BBV,2BBV,PRV004,Protein/RNA,X-ray
2BCQ,2BCQ,PD0721,Protein/DNA,X-ray
2BCR,2BCR,PD0722,Protein/DNA,X-ray
2BCS,2BCS,PD0723,Protein/DNA,X-ray
2BCU,2BCU,PD0724,Protein/DNA,X-ray
2BCV,2BCV,PD0725,Protein/DNA,X-ray
2BCY,2BCY,UR0074,RNA,X-ray
2BCZ,2BCZ,UR0075,RNA,X-ray
2BDP,2BDP,PDE0131,Protein/DNA,X-ray
2BE0,2BE0,DR0019,RNA,X-ray
2BEE,2BEE,DR0020,RNA,X-ray
2BGG,2BGG,PR0206,Protein/RNA,X-ray
2BGW,2BGW,PD0921,Protein/DNA,X-ray
2BH2,2BH2,PR0251,Protein/RNA,X-ray
2BJ2,2BJ2,2BJ2,RNA,NMR
2BJ6,2BJ6,AH0020,DNA/RNA,X-ray
2BJC,2BJC,2BJC,Protein/DNA,NMR
2BNA,2BNA,BDL002,DNA,X-ray
2BNW,2BNW,PD0836,Protein/DNA,X-ray
2BNY,2BNY,PR0245,Protein/RNA,X-ray
2BNZ,2BNZ,PD0833,Protein/DNA,X-ray
2BOP,2BOP,PDV001,Protein/DNA,X-ray
2BPA,2BPA,PDV002,Protein/DNA,X-ray
2BPF,2BPF,PDE011,Protein/DNA,X-ray
2BPG,2BPG,PDE012,Protein/DNA,X-ray
2BQ2,2BQ2,2BQ2,DNA,NMR
2BQ3,2BQ3,PD0922,Protein/DNA,X-ray
2BQ5,2BQ5,PR0246,Protein/RNA,X-ray
2BQR,2BQR,PD0923,Protein/DNA,X-ray
2BQU,2BQU,PD0924,Protein/DNA,X-ray
2BR0,2BR0,PD0925,Protein/DNA,X-ray
2BS0,2BS0,PR0247,Protein/RNA,X-ray
2BS1,2BS1,PR0248,Protein/RNA,X-ray
2BSQ,2BSQ,PD0859,Protein/DNA,X-ray
2BTE,2BTE,PR0252,Protein/RNA,X-ray
2BU1,2BU1,PR0202,Protein/RNA,X-ray
2BX2,2BX2,PR0253,Protein/RNA,X-ray
2BYT,2BYT,PR0254,Protein/RNA,X-ray
2BZF,2BZF,PD0799,Protein/DNA,X-ray
2C06,2C06,2C06,Protein/RNA,NMR
2C0B,2C0B,PR0255,Protein/RNA,X-ray
2C22,2C22,PD0926,Protein/DNA,X-ray
2C28,2C28,PD0927,Protein/DNA,X-ray
2C2D,2C2D,PD0928,Protein/DNA,X-ray
2C2E,2C2E,PD0929,Protein/DNA,X-ray
2C2R,2C2R,PD0930,Protein/DNA,X-ray
2C4Q,2C4Q,PR0203,Protein/RNA,X-ray
2C4R,2C4R,PR0256,Protein/RNA,X-ray
2C4Y,2C4Y,PR0204,Protein/RNA,X-ray
2C4Z,2C4Z,PR0201,Protein/RNA,X-ray
2C50,2C50,PR0200,Protein/RNA,X-ray
2C51,2C51,PR0209,Protein/RNA,X-ray
2C5R,2C5R,PD0798,Protein/DNA,X-ray
2C62,2C62,PD0931,Protein/DNA,X-ray
2C6Y,2C6Y,PD0932,Protein/DNA,X-ray
2C7A,2C7A,PD0863,Protein/DNA,X-ray
2C7O,2C7O,PD0933,Protein/DNA,X-ray
2C7P,2C7P,PD0934,Protein/DNA,X-ray
2C7Q,2C7Q,PD0935,Protein/DNA,X-ray
2C7R,2C7R,PD0936,Protein/DNA,X-ray
2C9L,2C9L,PD0937,Protein/DNA,X-ray
2C9N,2C9N,PD0938,Protein/DNA,X-ray
2CAX,2CAX,PD0939,Protein/DNA,X-ray
2CCZ,2CCZ,PD0871,Protein/DNA,X-ray
2CD1,2CD1,2CD1,RNA,NMR
2CD3,2CD3,2CD3,RNA,NMR
2CD5,2CD5,2CD5,RNA,NMR
2CD6,2CD6,2CD6,RNA,NMR
2CDM,2CDM,PD0852,Protein/DNA,X-ray
2CGP,2CGP,PDT049,Protein/DNA,X-ray
2CHJ,2CHJ,2CHJ,DNA,NMR
2CHK,2CHK,2CHK,DNA,NMR
2CJK,2CJK,2CJK,Protein/RNA,NMR
2CKY,2CKY,UR0098,RNA,X-ray
2CRX,2CRX,PD0103,Protein/DNA,X-ray
2CSX,2CSX,PR0161,Protein/RNA,X-ray
2CT8,2CT8,PR0162,Protein/RNA,X-ray
2CV0,2CV0,PR0163,Protein/RNA,X-ray
2CV1,2CV1,PR0164,Protein/RNA,X-ray
2CV2,2CV2,PR0165,Protein/RNA,X-ray
2CV5,2CV5,PD0676,Protein/DNA,X-ray
2CZJ,2CZJ,PR0168,Protein/RNA,X-ray
2D17,2D17,2D17,RNA,NMR
2D18,2D18,2D18,RNA,NMR
2D19,2D19,2D19,RNA,NMR
2D1A,2D1A,2D1A,RNA,NMR
2D1B,2D1B,2D1B,RNA,NMR
2D25,2D25,BDJB27,DNA,X-ray
2D2K,2D2K,UR0068,RNA,X-ray
2D2L,2D2L,UR0069,RNA,X-ray
2D34,2D34,DDFB24,DNA,X-ray
2D3O,2D3O,RR0127,Protein/RNA,X-ray
2D45,2D45,PD0718,Protein/DNA,X-ray
2D47,2D47,ADL025,DNA,X-ray
2D55,2D55,DDH037,DNA,X-ray
2D5V,2D5V,PD0739,Protein/DNA,X-ray
2D6F,2D6F,PR0184,Protein/RNA,X-ray
2D7D,2D7D,PD0746,Protein/DNA,X-ray
2D7G,2D7G,2D7G,Protein/DNA,X-ray
2D7H,2D7H,2D7H,Protein/DNA,X-ray
2D94,2D94,ADH026,DNA,X-ray
2D95,2D95,ADH027,DNA,X-ray
2DA8,2DA8,2DA8,Protein/DNA,NMR
2DAU,2DAU,2DAU,DNA,NMR
2DB3,2DB3,PR0187,Protein/RNA,X-ray
2DBE,2DBE,GDL009,DNA,X-ray
2DCG,2DCG,ZDF001,DNA,X-ray
2DD1,2DD1,2DD1,RNA,NMR
